term,step,estimate,lambda,dev.ratio,description
Vamp1,1,0.02521126087404262,0.017637565822332276,0.0918397184591008,vesicle-associated membrane protein 1 [Source:MGI Symbol;Acc:MGI:1313276]
Nefh,1,0.015971173347592314,0.017637565822332276,0.0918397184591008,"neurofilament, heavy polypeptide [Source:MGI Symbol;Acc:MGI:97309]"
Epm2aip1,1,0.015925691227991024,0.017637565822332276,0.0918397184591008,EPM2A (laforin) interacting protein 1 [Source:MGI Symbol;Acc:MGI:1925031]
Impact,1,0.015289094539596747,0.017637565822332276,0.0918397184591008,"impact, RWD domain protein [Source:MGI Symbol;Acc:MGI:1098233]"
Clcn5,1,0.015067724563898769,0.017637565822332276,0.0918397184591008,"chloride channel, voltage-sensitive 5 [Source:MGI Symbol;Acc:MGI:99486]"
Uhmk1,1,0.012822738709575196,0.017637565822332276,0.0918397184591008,U2AF homology motif (UHM) kinase 1 [Source:MGI Symbol;Acc:MGI:1341908]
Elavl2,1,0.012792176535706077,0.017637565822332276,0.0918397184591008,ELAV like RNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1100887]
Dnajc6,1,0.012628691965762936,0.017637565822332276,0.0918397184591008,DnaJ heat shock protein family (Hsp40) member C6 [Source:MGI Symbol;Acc:MGI:1919935]
Dzank1,1,0.011728674191823543,0.017637565822332276,0.0918397184591008,double zinc ribbon and ankyrin repeat domains 1 [Source:MGI Symbol;Acc:MGI:2139080]
Peg3,1,0.009239061732534562,0.017637565822332276,0.0918397184591008,paternally expressed 3 [Source:MGI Symbol;Acc:MGI:104748]
Ankrd34b,1,0.009183233744311552,0.017637565822332276,0.0918397184591008,ankyrin repeat domain 34B [Source:MGI Symbol;Acc:MGI:2443245]
Dpysl2,1,0.008858015785365256,0.017637565822332276,0.0918397184591008,dihydropyrimidinase-like 2 [Source:MGI Symbol;Acc:MGI:1349763]
Map4,1,0.008735364961137058,0.017637565822332276,0.0918397184591008,microtubule-associated protein 4 [Source:MGI Symbol;Acc:MGI:97178]
Tspyl4,1,0.007684883598073301,0.017637565822332276,0.0918397184591008,TSPY-like 4 [Source:MGI Symbol;Acc:MGI:106393]
Zfhx3,1,0.007318065929085032,0.017637565822332276,0.0918397184591008,zinc finger homeobox 3 [Source:MGI Symbol;Acc:MGI:99948]
Hspa4l,1,0.007069930330452963,0.017637565822332276,0.0918397184591008,heat shock protein 4 like [Source:MGI Symbol;Acc:MGI:107422]
Rcan2,1,0.006983461300883599,0.017637565822332276,0.0918397184591008,regulator of calcineurin 2 [Source:MGI Symbol;Acc:MGI:1858219]
Cplx1,1,0.006537926790870726,0.017637565822332276,0.0918397184591008,complexin 1 [Source:MGI Symbol;Acc:MGI:104727]
Disp2,1,0.0065274400708312304,0.017637565822332276,0.0918397184591008,dispatched RND tramsporter family member 2 [Source:MGI Symbol;Acc:MGI:2388733]
Ywhag,1,0.00650060392676126,0.017637565822332276,0.0918397184591008,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Source:MGI Symbol;Acc:MGI:108109]"
Aldoc,1,0.006211045304709664,0.017637565822332276,0.0918397184591008,"aldolase C, fructose-bisphosphate [Source:MGI Symbol;Acc:MGI:101863]"
Prkar1a,1,0.006008477436416309,0.017637565822332276,0.0918397184591008,"protein kinase, cAMP dependent regulatory, type I, alpha [Source:MGI Symbol;Acc:MGI:104878]"
Acly,1,0.005154848747768182,0.017637565822332276,0.0918397184591008,ATP citrate lyase [Source:MGI Symbol;Acc:MGI:103251]
Cldn11,1,0.0048510337060622,0.017637565822332276,0.0918397184591008,claudin 11 [Source:MGI Symbol;Acc:MGI:106925]
Cltc,1,0.0045103298553605484,0.017637565822332276,0.0918397184591008,"clathrin, heavy polypeptide (Hc) [Source:MGI Symbol;Acc:MGI:2388633]"
Hacd3,1,0.004166612029862604,0.017637565822332276,0.0918397184591008,3-hydroxyacyl-CoA dehydratase 3 [Source:MGI Symbol;Acc:MGI:1889341]
Plp1,1,0.004114775537582519,0.017637565822332276,0.0918397184591008,proteolipid protein (myelin) 1 [Source:MGI Symbol;Acc:MGI:97623]
Dnm3,1,0.0039017596011323105,0.017637565822332276,0.0918397184591008,dynamin 3 [Source:MGI Symbol;Acc:MGI:1341299]
Napb,1,0.003773025173436663,0.017637565822332276,0.0918397184591008,N-ethylmaleimide sensitive fusion protein attachment protein beta [Source:MGI Symbol;Acc:MGI:104562]
Pura,1,0.003630999685640445,0.017637565822332276,0.0918397184591008,purine rich element binding protein A [Source:MGI Symbol;Acc:MGI:103079]
Nrip3,1,0.0033911701516757607,0.017637565822332276,0.0918397184591008,nuclear receptor interacting protein 3 [Source:MGI Symbol;Acc:MGI:1925843]
Hmgcs1,1,0.0031163865977467137,0.017637565822332276,0.0918397184591008,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 [Source:MGI Symbol;Acc:MGI:107592]
Pja2,1,0.0027914854575226944,0.017637565822332276,0.0918397184591008,praja ring finger ubiquitin ligase 2 [Source:MGI Symbol;Acc:MGI:2159342]
Cend1,1,0.002733250492109218,0.017637565822332276,0.0918397184591008,cell cycle exit and neuronal differentiation 1 [Source:MGI Symbol;Acc:MGI:1929898]
Bcat1,1,0.002723307433340534,0.017637565822332276,0.0918397184591008,"branched chain aminotransferase 1, cytosolic [Source:MGI Symbol;Acc:MGI:104861]"
Ina,1,0.0024434316464547637,0.017637565822332276,0.0918397184591008,"internexin neuronal intermediate filament protein, alpha [Source:MGI Symbol;Acc:MGI:96568]"
Etnk1,1,0.0024222766850037986,0.017637565822332276,0.0918397184591008,ethanolamine kinase 1 [Source:MGI Symbol;Acc:MGI:1922570]
Syp,1,0.0021977552430811017,0.017637565822332276,0.0918397184591008,synaptophysin [Source:MGI Symbol;Acc:MGI:98467]
Synj1,1,0.0021914902949185713,0.017637565822332276,0.0918397184591008,synaptojanin 1 [Source:MGI Symbol;Acc:MGI:1354961]
Rbms3,1,0.0021793570991267,0.017637565822332276,0.0918397184591008,"RNA binding motif, single stranded interacting protein [Source:MGI Symbol;Acc:MGI:2444477]"
Spock2,1,0.002116809104261266,0.017637565822332276,0.0918397184591008,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2 [Source:MGI Symbol;Acc:MGI:1891351]"
Plekhb2,1,0.0018052555183663331,0.017637565822332276,0.0918397184591008,"pleckstrin homology domain containing, family B (evectins) member 2 [Source:MGI Symbol;Acc:MGI:2385825]"
Kcnab2,1,0.0018014507383661506,0.017637565822332276,0.0918397184591008,"potassium voltage-gated channel, shaker-related subfamily, beta member 2 [Source:MGI Symbol;Acc:MGI:109239]"
Dynll2,1,0.001680433210020406,0.017637565822332276,0.0918397184591008,dynein light chain LC8-type 2 [Source:MGI Symbol;Acc:MGI:1915347]
Alg2,1,0.001676099232292514,0.017637565822332276,0.0918397184591008,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase) [Source:MGI Symbol;Acc:MGI:1914731]"
Gnl3l,1,0.0016289264067908952,0.017637565822332276,0.0918397184591008,guanine nucleotide binding protein-like 3 (nucleolar)-like [Source:MGI Symbol;Acc:MGI:2448557]
Rab1a,1,0.0015771068609277165,0.017637565822332276,0.0918397184591008,"RAB1A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:97842]"
Abat,1,0.0015414901839181305,0.017637565822332276,0.0918397184591008,4-aminobutyrate aminotransferase [Source:MGI Symbol;Acc:MGI:2443582]
Gnb1,1,0.0015265805773807023,0.017637565822332276,0.0918397184591008,"guanine nucleotide binding protein (G protein), beta 1 [Source:MGI Symbol;Acc:MGI:95781]"
Nsf,1,0.0015181466662925536,0.017637565822332276,0.0918397184591008,N-ethylmaleimide sensitive fusion protein [Source:MGI Symbol;Acc:MGI:104560]
Cadps,1,0.0014606235207301164,0.017637565822332276,0.0918397184591008,Ca2+-dependent secretion activator [Source:MGI Symbol;Acc:MGI:1350922]
Atp6v1b2,1,0.0014090694549788406,0.017637565822332276,0.0918397184591008,"ATPase, H+ transporting, lysosomal V1 subunit B2 [Source:MGI Symbol;Acc:MGI:109618]"
Ndrg4,1,0.001374443130736051,0.017637565822332276,0.0918397184591008,N-myc downstream regulated gene 4 [Source:MGI Symbol;Acc:MGI:2384590]
Rnf14,1,0.0013628485762380153,0.017637565822332276,0.0918397184591008,ring finger protein 14 [Source:MGI Symbol;Acc:MGI:1929668]
Zwint,1,0.001260135304139395,0.017637565822332276,0.0918397184591008,ZW10 interactor [Source:MGI Symbol;Acc:MGI:1289227]
Nap1l5,1,0.0012475068163441832,0.017637565822332276,0.0918397184591008,nucleosome assembly protein 1-like 5 [Source:MGI Symbol;Acc:MGI:1923555]
Lonrf2,1,0.0012155231541305254,0.017637565822332276,0.0918397184591008,LON peptidase N-terminal domain and ring finger 2 [Source:MGI Symbol;Acc:MGI:1920209]
Cygb,1,0.0011937276577262098,0.017637565822332276,0.0918397184591008,cytoglobin [Source:MGI Symbol;Acc:MGI:2149481]
Tmem130,1,0.0011786036196868139,0.017637565822332276,0.0918397184591008,transmembrane protein 130 [Source:MGI Symbol;Acc:MGI:3607706]
Dnajc27,1,0.0011112269801392197,0.017637565822332276,0.0918397184591008,DnaJ heat shock protein family (Hsp40) member C27 [Source:MGI Symbol;Acc:MGI:2443036]
Ppp2ca,1,8.798652547230452e-4,0.017637565822332276,0.0918397184591008,"protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform [Source:MGI Symbol;Acc:MGI:1321159]"
Pak3,1,8.713397838033777e-4,0.017637565822332276,0.0918397184591008,p21 (RAC1) activated kinase 3 [Source:MGI Symbol;Acc:MGI:1339656]
Rab6a,1,6.146815951122074e-4,0.017637565822332276,0.0918397184591008,"RAB6A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:894313]"
Map1b,1,5.154533954301911e-4,0.017637565822332276,0.0918397184591008,microtubule-associated protein 1B [Source:MGI Symbol;Acc:MGI:1306778]
Canx,1,4.801275084251947e-4,0.017637565822332276,0.0918397184591008,calnexin [Source:MGI Symbol;Acc:MGI:88261]
Atp6v1a,1,4.4776215096814785e-4,0.017637565822332276,0.0918397184591008,"ATPase, H+ transporting, lysosomal V1 subunit A [Source:MGI Symbol;Acc:MGI:1201780]"
Nefl,1,3.9499649483635613e-4,0.017637565822332276,0.0918397184591008,"neurofilament, light polypeptide [Source:MGI Symbol;Acc:MGI:97313]"
Scd2,1,3.238804871220641e-4,0.017637565822332276,0.0918397184591008,stearoyl-Coenzyme A desaturase 2 [Source:MGI Symbol;Acc:MGI:98240]
Gls,1,1.0274377835582587e-4,0.017637565822332276,0.0918397184591008,glutaminase [Source:MGI Symbol;Acc:MGI:95752]
